period,shop,item,count
2024-09,芦屋,ドリア,30
2024-09,芦屋,ピザ,29
2024-09,芦屋,蕎麦,29
2024-09,芦屋,洋定食,55
2024-09,芦屋,和定食,46
2024-10,芦屋,うどん,33
2024-10,芦屋,オムライス,37
2024-10,芦屋,カツ丼,47
2024-10,芦屋,カレー,52
2024-10,芦屋,サンドウィッチ,17
2024-10,芦屋,スパゲティ,24
2024-10,芦屋,チャーハン,31
2024-10,芦屋,ドリア,34
2024-10,芦屋,ピザ,26
2024-10,芦屋,蕎麦,42
2024-10,芦屋,洋定食,49
2024-10,芦屋,和定食,57
2024-11,芦屋,うどん,43
2024-11,芦屋,オムライス,36
2024-11,芦屋,カツ丼,29
2024-11,芦屋,カレー,55
2024-11,芦屋,サンドウィッチ,11
2024-11,芦屋,スパゲティ,18
2024-11,芦屋,チャーハン,30
2024-11,芦屋,ドリア,30
2024-11,芦屋,ピザ,28
2024-11,芦屋,蕎麦,34
2024-11,芦屋,洋定食,46
2024-11,芦屋,和定食,48
2024-12,芦屋,うどん,41
2024-12,芦屋,オムライス,36
2024-12,芦屋,カツ丼,50
2024-12,芦屋,カレー,31
2024-12,芦屋,サンドウィッチ,17
2024-12,芦屋,スパゲティ,17
2024-12,芦屋,チャーハン,40
2024-12,芦屋,ドリア,40
2024-12,芦屋,ピザ,27
2024-12,芦屋,蕎麦,38
2024-12,芦屋,洋定食,45
2024-12,芦屋,和定食,58
2023-01,岡本,うどん,60
2023-01,岡本,オムライス,36
2023-01,岡本,カツ丼,51
2023-01,岡本,カレー,46
2023-01,岡本,サンドウィッチ,16
2023-01,岡本,スパゲティ,29
2023-01,岡本,チャーハン,34
2023-01,岡本,ドリア,40
2023-01,岡本,ピザ,27
2023-01,岡本,蕎麦,55
2023-01,岡本,洋定食,57
2023-01,岡本,和定食,51
2023-02,岡本,うどん,48
2023-02,岡本,オムライス,42
2023-02,岡本,カツ丼,53
2023-02,岡本,カレー,37
2023-02,岡本,サンドウィッチ,12
2023-02,岡本,スパゲティ,20
2023-02,岡本,チャーハン,48
2023-02,岡本,ドリア,27
2023-02,岡本,ピザ,24
2023-02,岡本,蕎麦,46
2023-02,岡本,洋定食,61
2023-02,岡本,和定食,56
2023-03,岡本,うどん,39
2023-03,岡本,オムライス,43
2023-03,岡本,カツ丼,42
2023-03,岡本,カレー,52
2023-03,岡本,サンドウィッチ,18
2023-03,岡本,スパゲティ,28
2023-03,岡本,チャーハン,36
2023-03,岡本,ドリア,36
2023-03,岡本,ピザ,32
2023-03,岡本,蕎麦,49
2023-03,岡本,洋定食,69
2023-03,岡本,和定食,51
2023-04,岡本,うどん,48
2023-04,岡本,オムライス,56
2023-04,岡本,カツ丼,49
2023-04,岡本,カレー,54
2023-04,岡本,サンドウィッチ,13
2023-04,岡本,スパゲティ,27
2023-04,岡本,チャーハン,46
2023-04,岡本,ドリア,42
2023-04,岡本,ピザ,21
2023-04,岡本,蕎麦,51
2023-04,岡本,洋定食,51
2023-04,岡本,和定食,39
2023-05,岡本,うどん,43
2023-05,岡本,オムライス,55
2023-05,岡本,カツ丼,46
2023-05,岡本,カレー,64
2023-05,岡本,サンドウィッチ,15
2023-05,岡本,スパゲティ,34
2023-05,岡本,チャーハン,41
2023-05,岡本,ドリア,47
2023-05,岡本,ピザ,28
2023-05,岡本,蕎麦,41
2023-05,岡本,洋定食,65
2023-05,岡本,和定食,69
2023-06,岡本,うどん,51
2023-06,岡本,オムライス,47
2023-06,岡本,カツ丼,56
2023-06,岡本,カレー,50
2023-06,岡本,サンドウィッチ,20
2023-06,岡本,スパゲティ,31
2023-06,岡本,チャーハン,41
2023-06,岡本,ドリア,40
2023-06,岡本,ピザ,26
2023-06,岡本,蕎麦,43
2023-06,岡本,洋定食,57
2023-06,岡本,和定食,50
2023-07,岡本,うどん,44
2023-07,岡本,オムライス,45
2023-07,岡本,カツ丼,54
2023-07,岡本,カレー,50
2023-07,岡本,サンドウィッチ,19
2023-07,岡本,スパゲティ,24
2023-07,岡本,チャーハン,36
2023-07,岡本,ドリア,45
2023-07,岡本,ピザ,27
2023-07,岡本,蕎麦,51
2023-07,岡本,洋定食,48
2023-07,岡本,和定食,56
2023-08,岡本,うどん,49
2023-08,岡本,オムライス,35
2023-08,岡本,カツ丼,47
2023-08,岡本,カレー,49
2023-08,岡本,サンドウィッチ,23
2023-08,岡本,スパゲティ,29
2023-08,岡本,チャーハン,47
2023-08,岡本,ドリア,38
2023-08,岡本,ピザ,37
2023-08,岡本,蕎麦,42
2023-08,岡本,洋定食,53
2023-08,岡本,和定食,51
2023-09,岡本,うどん,47
2023-09,岡本,オムライス,40
2023-09,岡本,カツ丼,46
2023-09,岡本,カレー,68
2023-09,岡本,サンドウィッチ,14
2023-09,岡本,スパゲティ,17
2023-09,岡本,チャーハン,31
2023-09,岡本,ドリア,43
2023-09,岡本,ピザ,23
2023-09,岡本,蕎麦,47
2023-09,岡本,洋定食,49
2023-09,岡本,和定食,48
2023-10,岡本,うどん,63
2023-10,岡本,オムライス,31
2023-10,岡本,カツ丼,49
2023-10,岡本,カレー,50
2023-10,岡本,サンドウィッチ,12
2023-10,岡本,スパゲティ,20
2023-10,岡本,チャーハン,36
2023-10,岡本,ドリア,31
2023-10,岡本,ピザ,27
2023-10,岡本,蕎麦,38
2023-10,岡本,洋定食,55
2023-10,岡本,和定食,48
2023-11,岡本,うどん,49
2023-11,岡本,オムライス,47
2023-11,岡本,カツ丼,50
2023-11,岡本,カレー,51
2023-11,岡本,サンドウィッチ,20
2023-11,岡本,スパゲティ,26
2023-11,岡本,チャーハン,30
2023-11,岡本,ドリア,37
2023-11,岡本,ピザ,36
2023-11,岡本,蕎麦,52
2023-11,岡本,洋定食,88
2023-11,岡本,和定食,53
2023-12,岡本,うどん,50
2023-12,岡本,オムライス,54
2023-12,岡本,カツ丼,58
2023-12,岡本,カレー,58
2023-12,岡本,サンドウィッチ,16
2023-12,岡本,スパゲティ,29
2023-12,岡本,チャーハン,55
2023-12,岡本,ドリア,35
2023-12,岡本,ピザ,33
2023-12,岡本,蕎麦,50
2023-12,岡本,洋定食,41
2023-12,岡本,和定食,52
2024-01,岡本,うどん,47
2024-01,岡本,オムライス,35
2024-01,岡本,カツ丼,34
2024-01,岡本,カレー,51
2024-01,岡本,サンドウィッチ,8
2024-01,岡本,スパゲティ,29
2024-01,岡本,チャーハン,32
2024-01,岡本,ドリア,49
2024-01,岡本,ピザ,34
2024-01,岡本,蕎麦,45
2024-01,岡本,洋定食,53
2024-01,岡本,和定食,57
2024-02,岡本,うどん,40
2024-02,岡本,オムライス,36
2024-02,岡本,カツ丼,55
2024-02,岡本,カレー,64
2024-02,岡本,サンドウィッチ,21
2024-02,岡本,スパゲティ,21
2024-02,岡本,チャーハン,37
2024-02,岡本,ドリア,49
2024-02,岡本,ピザ,30
2024-02,岡本,蕎麦,35
2024-02,岡本,洋定食,63
2024-02,岡本,和定食,53
2024-03,岡本,うどん,48
2024-03,岡本,オムライス,41
2024-03,岡本,カツ丼,49
2024-03,岡本,カレー,50
2024-03,岡本,サンドウィッチ,11
2024-03,岡本,スパゲティ,26
2024-03,岡本,チャーハン,46
2024-03,岡本,ドリア,44
2024-03,岡本,ピザ,25
2024-03,岡本,蕎麦,38
2024-03,岡本,洋定食,46
2024-03,岡本,和定食,54
2024-04,岡本,うどん,45
2024-04,岡本,オムライス,50
2024-04,岡本,カツ丼,53
2024-04,岡本,カレー,52
2024-04,岡本,サンドウィッチ,14
2024-04,岡本,スパゲティ,17
2024-04,岡本,チャーハン,47
2024-04,岡本,ドリア,36
2024-04,岡本,ピザ,25
2024-04,岡本,蕎麦,43
2024-04,岡本,洋定食,59
2024-04,岡本,和定食,57
2024-05,岡本,うどん,41
2024-05,岡本,オムライス,50
2024-05,岡本,カツ丼,45
2024-05,岡本,カレー,46
2024-05,岡本,サンドウィッチ,11
2024-05,岡本,スパゲティ,25
2024-05,岡本,チャーハン,42
2024-05,岡本,ドリア,33
2024-05,岡本,ピザ,27
2024-05,岡本,蕎麦,44
2024-05,岡本,洋定食,53
2024-05,岡本,和定食,60
2024-06,岡本,うどん,46
2024-06,岡本,オムライス,46
2024-06,岡本,カツ丼,50
2024-06,岡本,カレー,48
2024-06,岡本,サンドウィッチ,10
2024-06,岡本,スパゲティ,24
2024-06,岡本,チャーハン,37
2024-06,岡本,ドリア,29
2024-06,岡本,ピザ,36
2024-06,岡本,蕎麦,43
2024-06,岡本,洋定食,47
2024-06,岡本,和定食,63
2024-07,岡本,うどん,48
2024-07,岡本,オムライス,40
2024-07,岡本,カツ丼,59
2024-07,岡本,カレー,54
2024-07,岡本,サンドウィッチ,17
2024-07,岡本,スパゲティ,33
2024-07,岡本,チャーハン,53
2024-07,岡本,ドリア,40
2024-07,岡本,ピザ,29
2024-07,岡本,蕎麦,42
2024-07,岡本,洋定食,58
2024-07,岡本,和定食,49
2024-08,岡本,うどん,45
2024-08,岡本,オムライス,40
2024-08,岡本,カツ丼,54
2024-08,岡本,カレー,44
2024-08,岡本,サンドウィッチ,18
2024-08,岡本,スパゲティ,21
2024-08,岡本,チャーハン,37
2024-08,岡本,ドリア,33
2024-08,岡本,ピザ,31
2024-08,岡本,蕎麦,38
2024-08,岡本,洋定食,53
2024-08,岡本,和定食,48
2024-09,岡本,うどん,56
2024-09,岡本,オムライス,34
2024-09,岡本,カツ丼,38
2024-09,岡本,カレー,61
2024-09,岡本,サンドウィッチ,13
2024-09,岡本,スパゲティ,22
2024-09,岡本,チャーハン,35
2024-09,岡本,ドリア,45
2024-09,岡本,ピザ,42
2024-09,岡本,蕎麦,48
2024-09,岡本,洋定食,60
2024-09,岡本,和定食,52
2024-10,岡本,うどん,57
2024-10,岡本,オムライス,34
2024-10,岡本,カツ丼,42
2024-10,岡本,カレー,50
2024-10,岡本,サンドウィッチ,14
2024-10,岡本,スパゲティ,31
2024-10,岡本,チャーハン,39
2024-10,岡本,ドリア,38
2024-10,岡本,ピザ,34
2024-10,岡本,蕎麦,44
2024-10,岡本,洋定食,44
2024-10,岡本,和定食,67
2024-11,岡本,うどん,56
2024-11,岡本,オムライス,34
2024-11,岡本,カツ丼,37
2024-11,岡本,カレー,71
2024-11,岡本,サンドウィッチ,17
2024-11,岡本,スパゲティ,20
2024-11,岡本,チャーハン,30
2024-11,岡本,ドリア,27
2024-11,岡本,ピザ,37
2024-11,岡本,蕎麦,52
2024-11,岡本,洋定食,46
2024-11,岡本,和定食,53
2024-12,岡本,うどん,53
2024-12,岡本,オムライス,53
2024-12,岡本,カツ丼,45
2024-12,岡本,カレー,57
2024-12,岡本,サンドウィッチ,20
2024-12,岡本,スパゲティ,25
2024-12,岡本,チャーハン,41
2024-12,岡本,ドリア,27
2024-12,岡本,ピザ,38
2024-12,岡本,蕎麦,38
2024-12,岡本,洋定食,66
2024-12,岡本,和定食,45
2023-01,元町,うどん,58
2023-01,元町,オムライス,49
2023-01,元町,カツ丼,60
2023-01,元町,カレー,63
2023-01,元町,サンドウィッチ,21
2023-01,元町,スパゲティ,32
2023-01,元町,チャーハン,46
2023-01,元町,ドリア,54
2023-01,元町,ピザ,46
2023-01,元町,蕎麦,51
2023-01,元町,洋定食,87
2023-01,元町,和定食,73
2023-02,元町,うどん,57
2023-02,元町,オムライス,54
2023-02,元町,カツ丼,72
2023-02,元町,カレー,59
2023-02,元町,サンドウィッチ,25
2023-02,元町,スパゲティ,31
2023-02,元町,チャーハン,41
2023-02,元町,ドリア,45
2023-02,元町,ピザ,44
2023-02,元町,蕎麦,56
2023-02,元町,洋定食,71
2023-02,元町,和定食,53
2023-03,元町,うどん,80
2023-03,元町,オムライス,57
2023-03,元町,カツ丼,69
2023-03,元町,カレー,60
2023-03,元町,サンドウィッチ,19
2023-03,元町,スパゲティ,37
2023-03,元町,チャーハン,43
2023-03,元町,ドリア,51
2023-03,元町,ピザ,39
2023-03,元町,蕎麦,51
2023-03,元町,洋定食,66
2023-03,元町,和定食,56
2023-04,元町,うどん,52
2023-04,元町,オムライス,57
2023-04,元町,カツ丼,70
2023-04,元町,カレー,58
2023-04,元町,サンドウィッチ,18
2023-04,元町,スパゲティ,24
2023-04,元町,チャーハン,42
2023-04,元町,ドリア,52
2023-04,元町,ピザ,50
2023-04,元町,蕎麦,46
2023-04,元町,洋定食,66
2023-04,元町,和定食,68
2023-05,元町,うどん,52
2023-05,元町,オムライス,49
2023-05,元町,カツ丼,57
2023-05,元町,カレー,45
2023-05,元町,サンドウィッチ,17
2023-05,元町,スパゲティ,28
2023-05,元町,チャーハン,33
2023-05,元町,ドリア,38
2023-05,元町,ピザ,30
2023-05,元町,蕎麦,67
2023-05,元町,洋定食,67
2023-05,元町,和定食,74
2023-06,元町,うどん,66
2023-06,元町,オムライス,48
2023-06,元町,カツ丼,53
2023-06,元町,カレー,75
2023-06,元町,サンドウィッチ,23
2023-06,元町,スパゲティ,32
2023-06,元町,チャーハン,57
2023-06,元町,ドリア,43
2023-06,元町,ピザ,36
2023-06,元町,蕎麦,45
2023-06,元町,洋定食,82
2023-06,元町,和定食,66
2023-07,元町,うどん,50
2023-07,元町,オムライス,58
2023-07,元町,カツ丼,58
2023-07,元町,カレー,74
2023-07,元町,サンドウィッチ,16
2023-07,元町,スパゲティ,34
2023-07,元町,チャーハン,35
2023-07,元町,ドリア,40
2023-07,元町,ピザ,43
2023-07,元町,蕎麦,65
2023-07,元町,洋定食,68
2023-07,元町,和定食,72
2023-08,元町,うどん,60
2023-08,元町,オムライス,51
2023-08,元町,カツ丼,60
2023-08,元町,カレー,63
2023-08,元町,サンドウィッチ,24
2023-08,元町,スパゲティ,27
2023-08,元町,チャーハン,58
2023-08,元町,ドリア,45
2023-08,元町,ピザ,34
2023-08,元町,蕎麦,51
2023-08,元町,洋定食,78
2023-08,元町,和定食,55
2023-09,元町,うどん,58
2023-09,元町,オムライス,60
2023-09,元町,カツ丼,66
2023-09,元町,カレー,75
2023-09,元町,サンドウィッチ,35
2023-09,元町,スパゲティ,29
2023-09,元町,チャーハン,44
2023-09,元町,ドリア,28
2023-09,元町,ピザ,29
2023-09,元町,蕎麦,50
2023-09,元町,洋定食,64
2023-09,元町,和定食,76
2023-10,元町,うどん,60
2023-10,元町,オムライス,61
2023-10,元町,カツ丼,58
2023-10,元町,カレー,65
2023-10,元町,サンドウィッチ,18
2023-10,元町,スパゲティ,32
2023-10,元町,チャーハン,47
2023-10,元町,ドリア,43
2023-10,元町,ピザ,40
2023-10,元町,蕎麦,50
2023-10,元町,洋定食,70
2023-10,元町,和定食,72
2023-11,元町,うどん,64
2023-11,元町,オムライス,48
2023-11,元町,カツ丼,59
2023-11,元町,カレー,62
2023-11,元町,サンドウィッチ,18
2023-11,元町,スパゲティ,27
2023-11,元町,チャーハン,48
2023-11,元町,ドリア,45
2023-11,元町,ピザ,42
2023-11,元町,蕎麦,66
2023-11,元町,洋定食,56
2023-11,元町,和定食,80
2023-12,元町,うどん,52
2023-12,元町,オムライス,48
2023-12,元町,カツ丼,48
2023-12,元町,カレー,67
2023-12,元町,サンドウィッチ,17
2023-12,元町,スパゲティ,28
2023-12,元町,チャーハン,50
2023-12,元町,ドリア,30
2023-12,元町,ピザ,44
2023-12,元町,蕎麦,60
2023-12,元町,洋定食,56
2023-12,元町,和定食,70
2024-01,元町,うどん,63
2024-01,元町,オムライス,50
2024-01,元町,カツ丼,52
2024-01,元町,カレー,62
2024-01,元町,サンドウィッチ,19
2024-01,元町,スパゲティ,13
2024-01,元町,チャーハン,50
2024-01,元町,ドリア,41
2024-01,元町,ピザ,45
2024-01,元町,蕎麦,52
2024-01,元町,洋定食,71
2024-01,元町,和定食,54
2024-02,元町,うどん,55
2024-02,元町,オムライス,46
2024-02,元町,カツ丼,63
2024-02,元町,カレー,56
2024-02,元町,サンドウィッチ,13
2024-02,元町,スパゲティ,31
2024-02,元町,チャーハン,60
2024-02,元町,ドリア,47
2024-02,元町,ピザ,30
2024-02,元町,蕎麦,51
2024-02,元町,洋定食,66
2024-02,元町,和定食,74
2024-03,元町,うどん,50
2024-03,元町,オムライス,38
2024-03,元町,カツ丼,55
2024-03,元町,カレー,62
2024-03,元町,サンドウィッチ,13
2024-03,元町,スパゲティ,32
2024-03,元町,チャーハン,46
2024-03,元町,ドリア,40
2024-03,元町,ピザ,40
2024-03,元町,蕎麦,56
2024-03,元町,洋定食,49
2024-03,元町,和定食,73
2024-04,元町,うどん,61
2024-04,元町,オムライス,37
2024-04,元町,カツ丼,66
2024-04,元町,カレー,71
2024-04,元町,サンドウィッチ,22
2024-04,元町,スパゲティ,27
2024-04,元町,チャーハン,45
2024-04,元町,ドリア,38
2024-04,元町,ピザ,43
2024-04,元町,蕎麦,46
2024-04,元町,洋定食,80
2024-04,元町,和定食,79
2024-05,元町,うどん,59
2024-05,元町,オムライス,48
2024-05,元町,カツ丼,74
2024-05,元町,カレー,65
2024-05,元町,サンドウィッチ,12
2024-05,元町,スパゲティ,29
2024-05,元町,チャーハン,49
2024-05,元町,ドリア,47
2024-05,元町,ピザ,43
2024-05,元町,蕎麦,47
2024-05,元町,洋定食,59
2024-05,元町,和定食,83
2024-06,元町,うどん,51
2024-06,元町,オムライス,46
2024-06,元町,カツ丼,51
2024-06,元町,カレー,65
2024-06,元町,サンドウィッチ,9
2024-06,元町,スパゲティ,25
2024-06,元町,チャーハン,57
2024-06,元町,ドリア,45
2024-06,元町,ピザ,32
2024-06,元町,蕎麦,47
2024-06,元町,洋定食,66
2024-06,元町,和定食,80
2024-07,元町,うどん,59
2024-07,元町,オムライス,55
2024-07,元町,カツ丼,50
2024-07,元町,カレー,70
2024-07,元町,サンドウィッチ,17
2024-07,元町,スパゲティ,25
2024-07,元町,チャーハン,57
2024-07,元町,ドリア,44
2024-07,元町,ピザ,26
2024-07,元町,蕎麦,63
2024-07,元町,洋定食,62
2024-07,元町,和定食,76
2024-08,元町,うどん,51
2024-08,元町,オムライス,55
2024-08,元町,カツ丼,59
2024-08,元町,カレー,72
2024-08,元町,サンドウィッチ,26
2024-08,元町,スパゲティ,31
2024-08,元町,チャーハン,44
2024-08,元町,ドリア,52
2024-08,元町,ピザ,28
2024-08,元町,蕎麦,49
2024-08,元町,洋定食,49
2024-08,元町,和定食,65
2024-09,元町,うどん,59
2024-09,元町,オムライス,66
2024-09,元町,カツ丼,69
2024-09,元町,カレー,54
2024-09,元町,サンドウィッチ,17
2024-09,元町,スパゲティ,37
2024-09,元町,チャーハン,37
2024-09,元町,ドリア,49
2024-09,元町,ピザ,36
2024-09,元町,蕎麦,51
2024-09,元町,洋定食,64
2024-09,元町,和定食,70
2024-10,元町,うどん,59
2024-10,元町,オムライス,55
2024-10,元町,カツ丼,55
2024-10,元町,カレー,52
2024-10,元町,サンドウィッチ,17
2024-10,元町,スパゲティ,26
2024-10,元町,チャーハン,29
2024-10,元町,ドリア,37
2024-10,元町,ピザ,39
2024-10,元町,蕎麦,52
2024-10,元町,洋定食,50
2024-10,元町,和定食,81
2024-11,元町,うどん,55
2024-11,元町,オムライス,47
2024-11,元町,カツ丼,61
2024-11,元町,カレー,51
2024-11,元町,サンドウィッチ,13
2024-11,元町,スパゲティ,35
