id,satisfy,apps,comment
20,5,SAS,コメントコメント
21,4,S-PLUS,自由記述コメント自由記述
22,1,excel,コメントコメント
22,1,HAD,コメントコメント
22,1,JASP,コメントコメント
22,1,SAS,コメントコメント
22,1,SPSS,コメントコメント
23,5,excel,自由記述コメント自由記述自由記述
23,5,HAD,自由記述コメント自由記述自由記述
23,5,JASP,自由記述コメント自由記述自由記述
23,5,SPSS,自由記述コメント自由記述自由記述
24,3,excel,コメントコメントコメントコメント
24,3,HAD,コメントコメントコメントコメント
24,3,SAS,コメントコメントコメントコメント
24,3,SPSS,コメントコメントコメントコメント
24,3,STATISTICA,コメントコメントコメントコメント
25,3,-,自由記述自由記述コメントコメント
26,2,HAD,コメント自由記述コメントコメント自由記述
26,2,JASP,コメント自由記述コメントコメント自由記述
26,2,JMP,コメント自由記述コメントコメント自由記述
27,1,excel,
27,1,HAD,
27,1,SAS,
27,1,SPSS,
28,3,excel,コメント自由記述
28,3,others,コメント自由記述
28,3,SAS,コメント自由記述
28,3,SPSS,コメント自由記述
28,3,STATISTICA,コメント自由記述
29,5,excel,
29,5,SPSS,
29,5,STATISTICA,
30,3,excel,コメントコメントコメントコメント
30,3,SPSS,コメントコメントコメントコメント
31,4,excel,自由記述コメントコメント
31,4,others,自由記述コメントコメント
31,4,S-PLUS,自由記述コメントコメント
31,4,SAS,自由記述コメントコメント
31,4,STATISTICA,自由記述コメントコメント
32,5,HAD,
32,5,JASP,
32,5,JMP,
32,5,S-PLUS,
32,5,SAS,
33,4,JASP,コメントコメント
33,4,others,コメントコメント
33,4,S-PLUS,コメントコメント
33,4,SPSS,コメントコメント
33,4,STATISTICA,コメントコメント
34,1,HAD,自由記述
34,1,S-PLUS,自由記述
34,1,STATISTICA,自由記述
35,1,-,
36,5,HAD,コメント自由記述自由記述コメント自由記述
36,5,SAS,コメント自由記述自由記述コメント自由記述
36,5,SPSS,コメント自由記述自由記述コメント自由記述
37,5,SAS,コメントコメントコメントコメントコメント
37,5,SPSS,コメントコメントコメントコメントコメント
38,2,excel,自由記述コメントコメント
39,3,S-PLUS,コメントコメントコメントコメント
39,3,STATISTICA,コメントコメントコメントコメント
40,4,excel,自由記述自由記述コメントコメント自由記述
40,4,SAS,自由記述自由記述コメントコメント自由記述
41,1,HAD,コメントコメント自由記述コメント
41,1,JMP,コメントコメント自由記述コメント
41,1,others,コメントコメント自由記述コメント
41,1,S-PLUS,コメントコメント自由記述コメント
41,1,STATISTICA,コメントコメント自由記述コメント
42,3,HAD,コメントコメント自由記述
42,3,JASP,コメントコメント自由記述
43,1,S-PLUS,
43,1,STATISTICA,
44,4,JASP,自由記述コメントコメント自由記述自由記述
44,4,S-PLUS,自由記述コメントコメント自由記述自由記述
44,4,SPSS,自由記述コメントコメント自由記述自由記述
45,3,-,自由記述コメントコメント
46,1,JMP,自由記述コメント自由記述
46,1,others,自由記述コメント自由記述
46,1,STATISTICA,自由記述コメント自由記述
47,2,HAD,コメントコメントコメントコメント自由記述
47,2,SAS,コメントコメントコメントコメント自由記述
47,2,STATISTICA,コメントコメントコメントコメント自由記述
48,3,excel,自由記述自由記述コメント
48,3,S-PLUS,自由記述自由記述コメント
48,3,SAS,自由記述自由記述コメント
48,3,SPSS,自由記述自由記述コメント
49,3,-,自由記述自由記述
50,5,excel,自由記述コメント
50,5,JASP,自由記述コメント
51,3,HAD,自由記述自由記述自由記述
51,3,JMP,自由記述自由記述自由記述
51,3,S-PLUS,自由記述自由記述自由記述
52,1,excel,自由記述コメントコメント
53,4,S-PLUS,コメント自由記述自由記述自由記述
53,4,SPSS,コメント自由記述自由記述自由記述
54,1,excel,
54,1,HAD,
54,1,SAS,
55,1,excel,コメント自由記述自由記述
55,1,JASP,コメント自由記述自由記述
55,1,SAS,コメント自由記述自由記述
55,1,SPSS,コメント自由記述自由記述
55,1,STATISTICA,コメント自由記述自由記述
56,4,excel,
56,4,SAS,
57,3,SPSS,自由記述自由記述コメント自由記述
57,3,STATISTICA,自由記述自由記述コメント自由記述
58,2,-,自由記述
59,1,excel,
59,1,HAD,
59,1,JMP,
59,1,SAS,
60,2,-,
61,1,-,
62,2,HAD,コメント自由記述
62,2,SAS,コメント自由記述
62,2,STATISTICA,コメント自由記述
63,5,excel,コメント
63,5,SPSS,コメント
63,5,STATISTICA,コメント
64,1,HAD,自由記述コメントコメントコメント自由記述
64,1,others,自由記述コメントコメントコメント自由記述
64,1,SAS,自由記述コメントコメントコメント自由記述
64,1,SPSS,自由記述コメントコメントコメント自由記述
65,3,JASP,コメントコメント自由記述コメント自由記述
66,2,JASP,
66,2,JMP,
66,2,SAS,
67,5,JASP,自由記述自由記述自由記述コメント自由記述
67,5,S-PLUS,自由記述自由記述自由記述コメント自由記述
67,5,SAS,自由記述自由記述自由記述コメント自由記述
68,2,HAD,自由記述コメント自由記述コメント自由記述
68,2,S-PLUS,自由記述コメント自由記述コメント自由記述
68,2,SAS,自由記述コメント自由記述コメント自由記述
68,2,STATISTICA,自由記述コメント自由記述コメント自由記述
69,2,excel,コメントコメント自由記述
69,2,others,コメントコメント自由記述
69,2,S-PLUS,コメントコメント自由記述
69,2,SAS,コメントコメント自由記述
69,2,STATISTICA,コメントコメント自由記述
70,4,excel,
71,2,HAD,自由記述自由記述自由記述コメント
71,2,others,自由記述自由記述自由記述コメント
71,2,SAS,自由記述自由記述自由記述コメント
71,2,SPSS,自由記述自由記述自由記述コメント
71,2,STATISTICA,自由記述自由記述自由記述コメント
72,3,SPSS,コメント
73,1,S-PLUS,コメント
73,1,STATISTICA,コメント
74,3,STATISTICA,
75,1,excel,コメント
75,1,HAD,コメント
75,1,others,コメント
75,1,STATISTICA,コメント
76,4,excel,自由記述コメントコメント自由記述コメント
76,4,JASP,自由記述コメントコメント自由記述コメント
76,4,SAS,自由記述コメントコメント自由記述コメント
76,4,STATISTICA,自由記述コメントコメント自由記述コメント
77,3,S-PLUS,コメントコメント
77,3,SAS,コメントコメント
77,3,SPSS,コメントコメント
77,3,STATISTICA,コメントコメント
78,2,SAS,
78,2,SPSS,
79,3,JMP,コメント自由記述自由記述自由記述自由記述
79,3,others,コメント自由記述自由記述自由記述自由記述
79,3,SPSS,コメント自由記述自由記述自由記述自由記述
80,4,HAD,コメントコメント
80,4,SAS,コメントコメント
81,4,excel,自由記述コメントコメントコメント自由記述
82,1,HAD,コメント自由記述コメント
83,4,excel,自由記述自由記述自由記述
83,4,JASP,自由記述自由記述自由記述
83,4,JMP,自由記述自由記述自由記述
83,4,SAS,自由記述自由記述自由記述
83,4,SPSS,自由記述自由記述自由記述
84,2,STATISTICA,コメント自由記述コメント自由記述コメント
85,1,excel,コメントコメント自由記述自由記述コメント
85,1,JMP,コメントコメント自由記述自由記述コメント
85,1,S-PLUS,コメントコメント自由記述自由記述コメント
85,1,SPSS,コメントコメント自由記述自由記述コメント
86,5,HAD,
87,3,-,自由記述自由記述コメント自由記述
88,3,SAS,
88,3,SPSS,
88,3,STATISTICA,
89,1,-,自由記述自由記述コメント
90,2,excel,コメント自由記述コメント
90,2,HAD,コメント自由記述コメント
90,2,SAS,コメント自由記述コメント
90,2,SPSS,コメント自由記述コメント
90,2,STATISTICA,コメント自由記述コメント
91,2,others,自由記述自由記述自由記述自由記述コメント
91,2,SAS,自由記述自由記述自由記述自由記述コメント
92,1,HAD,コメントコメントコメント
92,1,JASP,コメントコメントコメント
92,1,SPSS,コメントコメントコメント
93,4,excel,コメントコメントコメント
93,4,HAD,コメントコメントコメント
93,4,S-PLUS,コメントコメントコメント
93,4,SAS,コメントコメントコメント
93,4,SPSS,コメントコメントコメント
94,4,JMP,
95,3,JASP,自由記述自由記述自由記述コメント自由記述
95,3,S-PLUS,自由記述自由記述自由記述コメント自由記述
95,3,SAS,自由記述自由記述自由記述コメント自由記述
96,2,HAD,自由記述自由記述
96,2,SPSS,自由記述自由記述
97,4,S-PLUS,コメント自由記述
98,4,-,コメント
99,2,STATISTICA,
100,3,-,自由記述コメント
