period,shop,item,count,price
2023-05,芦屋,洋定食,37,700
2023-05,芦屋,和定食,62,650
2023-06,芦屋,うどん,48,500
2023-06,芦屋,オムライス,38,600
2023-06,芦屋,カツ丼,42,650
2023-06,芦屋,カレー,51,600
2023-06,芦屋,サンドウィッチ,15,450
2023-06,芦屋,スパゲティ,21,710
2023-06,芦屋,チャーハン,35,630
2023-06,芦屋,ドリア,33,700
2023-06,芦屋,ピザ,25,740
2023-06,芦屋,蕎麦,39,500
2023-06,芦屋,洋定食,60,700
2023-06,芦屋,和定食,56,650
2023-07,芦屋,うどん,37,500
2023-07,芦屋,オムライス,47,600
2023-07,芦屋,カツ丼,50,650
2023-07,芦屋,カレー,42,600
2023-07,芦屋,サンドウィッチ,12,450
2023-07,芦屋,スパゲティ,18,710
2023-07,芦屋,チャーハン,28,630
2023-07,芦屋,ドリア,23,700
2023-07,芦屋,ピザ,20,740
2023-07,芦屋,蕎麦,35,500
2023-07,芦屋,洋定食,44,700
2023-07,芦屋,和定食,53,650
2023-08,芦屋,うどん,38,500
2023-08,芦屋,オムライス,31,600
2023-08,芦屋,カツ丼,45,650
2023-08,芦屋,カレー,50,600
2023-08,芦屋,サンドウィッチ,14,450
2023-08,芦屋,スパゲティ,24,710
2023-08,芦屋,チャーハン,33,630
2023-08,芦屋,ドリア,33,700
2023-08,芦屋,ピザ,28,740
2023-08,芦屋,蕎麦,53,500
2023-08,芦屋,洋定食,52,700
2023-08,芦屋,和定食,41,650
2023-09,芦屋,うどん,48,500
2023-09,芦屋,オムライス,29,600
2023-09,芦屋,カツ丼,47,650
2023-09,芦屋,カレー,72,600
2023-09,芦屋,サンドウィッチ,8,450
2023-09,芦屋,スパゲティ,24,710
2023-09,芦屋,チャーハン,34,630
2023-09,芦屋,ドリア,29,700
2023-09,芦屋,ピザ,31,740
2023-09,芦屋,蕎麦,40,500
2023-09,芦屋,洋定食,43,700
2023-09,芦屋,和定食,50,650
2023-10,芦屋,うどん,53,500
2023-10,芦屋,オムライス,41,600
2023-10,芦屋,カツ丼,41,650
2023-10,芦屋,カレー,50,600
2023-10,芦屋,サンドウィッチ,12,450
2023-10,芦屋,スパゲティ,23,710
2023-10,芦屋,チャーハン,39,630
2023-10,芦屋,ドリア,29,700
2023-10,芦屋,ピザ,18,740
2023-10,芦屋,蕎麦,36,500
2023-10,芦屋,洋定食,51,700
2023-10,芦屋,和定食,55,650
2023-11,芦屋,うどん,37,500
2023-11,芦屋,オムライス,48,600
2023-11,芦屋,カツ丼,47,650
2023-11,芦屋,カレー,47,600
2023-11,芦屋,サンドウィッチ,10,450
2023-11,芦屋,スパゲティ,21,710
2023-11,芦屋,チャーハン,47,630
2023-11,芦屋,ドリア,30,700
2023-11,芦屋,ピザ,28,740
2023-11,芦屋,蕎麦,34,500
2023-11,芦屋,洋定食,51,700
2023-11,芦屋,和定食,54,650
2023-12,芦屋,うどん,47,500
2023-12,芦屋,オムライス,39,600
2023-12,芦屋,カツ丼,46,650
2023-12,芦屋,カレー,52,600
2023-12,芦屋,サンドウィッチ,9,450
2023-12,芦屋,スパゲティ,22,710
2023-12,芦屋,チャーハン,36,630
2023-12,芦屋,ドリア,35,700
2023-12,芦屋,ピザ,17,740
2023-12,芦屋,蕎麦,40,500
2023-12,芦屋,洋定食,49,700
2023-12,芦屋,和定食,55,650
2024-01,芦屋,うどん,35,500
2024-01,芦屋,オムライス,44,600
2024-01,芦屋,カツ丼,38,650
2024-01,芦屋,カレー,42,600
2024-01,芦屋,サンドウィッチ,10,450
2024-01,芦屋,スパゲティ,18,710
2024-01,芦屋,チャーハン,40,630
2024-01,芦屋,ドリア,43,700
2024-01,芦屋,ピザ,21,740
2024-01,芦屋,蕎麦,37,500
2024-01,芦屋,洋定食,33,700
2024-01,芦屋,和定食,42,650
2024-02,芦屋,うどん,35,500
2024-02,芦屋,オムライス,35,600
2024-02,芦屋,カツ丼,42,650
2024-02,芦屋,カレー,51,600
2024-02,芦屋,サンドウィッチ,13,450
2024-02,芦屋,スパゲティ,15,710
2024-02,芦屋,チャーハン,40,630
2024-02,芦屋,ドリア,21,700
2024-02,芦屋,ピザ,28,740
2024-02,芦屋,蕎麦,45,500
2024-02,芦屋,洋定食,47,700
2024-02,芦屋,和定食,42,650
2024-03,芦屋,うどん,44,500
2024-03,芦屋,オムライス,40,600
2024-03,芦屋,カツ丼,36,650
2024-03,芦屋,カレー,55,600
2024-03,芦屋,サンドウィッチ,13,450
2024-03,芦屋,スパゲティ,17,710
2024-03,芦屋,チャーハン,39,630
2024-03,芦屋,ドリア,35,700
2024-03,芦屋,ピザ,29,740
2024-03,芦屋,蕎麦,49,500
2024-03,芦屋,洋定食,55,700
2024-03,芦屋,和定食,45,650
2024-04,芦屋,うどん,37,500
2024-04,芦屋,オムライス,38,600
2024-04,芦屋,カツ丼,46,650
2024-04,芦屋,カレー,40,600
2024-04,芦屋,サンドウィッチ,21,450
2024-04,芦屋,スパゲティ,26,710
2024-04,芦屋,チャーハン,25,630
2024-04,芦屋,ドリア,26,700
2024-04,芦屋,ピザ,27,740
2024-04,芦屋,蕎麦,33,500
2024-04,芦屋,洋定食,57,700
2024-04,芦屋,和定食,60,650
2024-05,芦屋,うどん,46,500
2024-05,芦屋,オムライス,34,600
2024-05,芦屋,カツ丼,46,650
2024-05,芦屋,カレー,54,600
2024-05,芦屋,サンドウィッチ,14,450
2024-05,芦屋,スパゲティ,24,710
2024-05,芦屋,チャーハン,37,630
2024-05,芦屋,ドリア,35,700
2024-05,芦屋,ピザ,27,740
2024-05,芦屋,蕎麦,46,500
2024-05,芦屋,洋定食,42,700
2024-05,芦屋,和定食,41,650
2024-06,芦屋,うどん,35,500
2024-06,芦屋,オムライス,37,600
2024-06,芦屋,カツ丼,49,650
2024-06,芦屋,カレー,42,600
2024-06,芦屋,サンドウィッチ,6,450
2024-06,芦屋,スパゲティ,22,710
2024-06,芦屋,チャーハン,30,630
2024-06,芦屋,ドリア,35,700
2024-06,芦屋,ピザ,35,740
2024-06,芦屋,蕎麦,49,500
2024-06,芦屋,洋定食,41,700
2024-06,芦屋,和定食,64,650
2024-07,芦屋,うどん,34,500
2024-07,芦屋,オムライス,38,600
2024-07,芦屋,カツ丼,38,650
2024-07,芦屋,カレー,39,600
2024-07,芦屋,サンドウィッチ,15,450
2024-07,芦屋,スパゲティ,29,710
2024-07,芦屋,チャーハン,45,630
2024-07,芦屋,ドリア,36,700
2024-07,芦屋,ピザ,17,740
2024-07,芦屋,蕎麦,35,500
2024-07,芦屋,洋定食,40,700
2024-07,芦屋,和定食,57,650
2024-08,芦屋,うどん,53,500
2024-08,芦屋,オムライス,42,600
2024-08,芦屋,カツ丼,52,650
2024-08,芦屋,カレー,47,600
2024-08,芦屋,サンドウィッチ,11,450
2024-08,芦屋,スパゲティ,18,710
2024-08,芦屋,チャーハン,31,630
2024-08,芦屋,ドリア,31,700
2024-08,芦屋,ピザ,20,740
2024-08,芦屋,蕎麦,38,500
2024-08,芦屋,洋定食,48,700
2024-08,芦屋,和定食,49,650
2024-09,芦屋,うどん,54,500
2024-09,芦屋,オムライス,40,600
2024-09,芦屋,カツ丼,42,650
2024-09,芦屋,カレー,48,600
2024-09,芦屋,サンドウィッチ,21,450
2024-09,芦屋,スパゲティ,19,710
2024-09,芦屋,チャーハン,28,630
2024-09,芦屋,ドリア,30,700
2024-09,芦屋,ピザ,29,740
2024-09,芦屋,蕎麦,29,500
2024-09,芦屋,洋定食,55,700
2024-09,芦屋,和定食,46,650
2024-10,芦屋,うどん,33,500
2024-10,芦屋,オムライス,37,600
2024-10,芦屋,カツ丼,47,650
2024-10,芦屋,カレー,52,600
2024-10,芦屋,サンドウィッチ,17,450
2024-10,芦屋,スパゲティ,24,710
2024-10,芦屋,チャーハン,31,630
2024-10,芦屋,ドリア,34,700
2024-10,芦屋,ピザ,26,740
2024-10,芦屋,蕎麦,42,500
2024-10,芦屋,洋定食,49,700
2024-10,芦屋,和定食,57,650
2024-11,芦屋,うどん,43,500
2024-11,芦屋,オムライス,36,600
2024-11,芦屋,カツ丼,29,650
2024-11,芦屋,カレー,55,600
2024-11,芦屋,サンドウィッチ,11,450
2024-11,芦屋,スパゲティ,18,710
2024-11,芦屋,チャーハン,30,630
2024-11,芦屋,ドリア,30,700
2024-11,芦屋,ピザ,28,740
2024-11,芦屋,蕎麦,34,500
2024-11,芦屋,洋定食,46,700
2024-11,芦屋,和定食,48,650
2024-12,芦屋,うどん,41,500
2024-12,芦屋,オムライス,36,600
2024-12,芦屋,カツ丼,50,650
2024-12,芦屋,カレー,31,600
2024-12,芦屋,サンドウィッチ,17,450
2024-12,芦屋,スパゲティ,17,710
2024-12,芦屋,チャーハン,40,630
2024-12,芦屋,ドリア,40,700
2024-12,芦屋,ピザ,27,740
2024-12,芦屋,蕎麦,38,500
2024-12,芦屋,洋定食,45,700
2024-12,芦屋,和定食,58,650
2023-01,岡本,うどん,60,500
2023-01,岡本,オムライス,36,600
2023-01,岡本,カツ丼,51,650
2023-01,岡本,カレー,46,600
2023-01,岡本,サンドウィッチ,16,450
2023-01,岡本,スパゲティ,29,710
2023-01,岡本,チャーハン,34,630
2023-01,岡本,ドリア,40,700
2023-01,岡本,ピザ,27,740
2023-01,岡本,蕎麦,55,500
2023-01,岡本,洋定食,57,700
2023-01,岡本,和定食,51,650
2023-02,岡本,うどん,48,500
2023-02,岡本,オムライス,42,600
2023-02,岡本,カツ丼,53,650
2023-02,岡本,カレー,37,600
2023-02,岡本,サンドウィッチ,12,450
2023-02,岡本,スパゲティ,20,710
2023-02,岡本,チャーハン,48,630
2023-02,岡本,ドリア,27,700
2023-02,岡本,ピザ,24,740
2023-02,岡本,蕎麦,46,500
2023-02,岡本,洋定食,61,700
2023-02,岡本,和定食,56,650
2023-03,岡本,うどん,39,500
2023-03,岡本,オムライス,43,600
2023-03,岡本,カツ丼,42,650
2023-03,岡本,カレー,52,600
2023-03,岡本,サンドウィッチ,18,450
2023-03,岡本,スパゲティ,28,710
2023-03,岡本,チャーハン,36,630
2023-03,岡本,ドリア,36,700
2023-03,岡本,ピザ,32,740
2023-03,岡本,蕎麦,49,500
2023-03,岡本,洋定食,69,700
2023-03,岡本,和定食,51,650
2023-04,岡本,うどん,48,500
2023-04,岡本,オムライス,56,600
2023-04,岡本,カツ丼,49,650
2023-04,岡本,カレー,54,600
2023-04,岡本,サンドウィッチ,13,450
2023-04,岡本,スパゲティ,27,710
2023-04,岡本,チャーハン,46,630
2023-04,岡本,ドリア,42,700
2023-04,岡本,ピザ,21,740
2023-04,岡本,蕎麦,51,500
2023-04,岡本,洋定食,51,700
2023-04,岡本,和定食,39,650
2023-05,岡本,うどん,43,500
2023-05,岡本,オムライス,55,600
2023-05,岡本,カツ丼,46,650
2023-05,岡本,カレー,64,600
2023-05,岡本,サンドウィッチ,15,450
2023-05,岡本,スパゲティ,34,710
2023-05,岡本,チャーハン,41,630
2023-05,岡本,ドリア,47,700
2023-05,岡本,ピザ,28,740
2023-05,岡本,蕎麦,41,500
2023-05,岡本,洋定食,65,700
2023-05,岡本,和定食,69,650
2023-06,岡本,うどん,51,500
2023-06,岡本,オムライス,47,600
2023-06,岡本,カツ丼,56,650
2023-06,岡本,カレー,50,600
2023-06,岡本,サンドウィッチ,20,450
2023-06,岡本,スパゲティ,31,710
2023-06,岡本,チャーハン,41,630
2023-06,岡本,ドリア,40,700
2023-06,岡本,ピザ,26,740
2023-06,岡本,蕎麦,43,500
2023-06,岡本,洋定食,57,700
2023-06,岡本,和定食,50,650
2023-07,岡本,うどん,44,500
2023-07,岡本,オムライス,45,600
2023-07,岡本,カツ丼,54,650
2023-07,岡本,カレー,50,600
2023-07,岡本,サンドウィッチ,19,450
2023-07,岡本,スパゲティ,24,710
2023-07,岡本,チャーハン,36,630
2023-07,岡本,ドリア,45,700
2023-07,岡本,ピザ,27,740
2023-07,岡本,蕎麦,51,500
2023-07,岡本,洋定食,48,700
2023-07,岡本,和定食,56,650
2023-08,岡本,うどん,49,500
2023-08,岡本,オムライス,35,600
2023-08,岡本,カツ丼,47,650
2023-08,岡本,カレー,49,600
2023-08,岡本,サンドウィッチ,23,450
2023-08,岡本,スパゲティ,29,710
2023-08,岡本,チャーハン,47,630
2023-08,岡本,ドリア,38,700
2023-08,岡本,ピザ,37,740
2023-08,岡本,蕎麦,42,500
2023-08,岡本,洋定食,53,700
2023-08,岡本,和定食,51,650
2023-09,岡本,うどん,47,500
2023-09,岡本,オムライス,40,600
2023-09,岡本,カツ丼,46,650
2023-09,岡本,カレー,68,600
2023-09,岡本,サンドウィッチ,14,450
2023-09,岡本,スパゲティ,17,710
2023-09,岡本,チャーハン,31,630
2023-09,岡本,ドリア,43,700
2023-09,岡本,ピザ,23,740
2023-09,岡本,蕎麦,47,500
2023-09,岡本,洋定食,49,700
2023-09,岡本,和定食,48,650
2023-10,岡本,うどん,63,500
2023-10,岡本,オムライス,31,600
2023-10,岡本,カツ丼,49,650
2023-10,岡本,カレー,50,600
2023-10,岡本,サンドウィッチ,12,450
2023-10,岡本,スパゲティ,20,710
2023-10,岡本,チャーハン,36,630
2023-10,岡本,ドリア,31,700
2023-10,岡本,ピザ,27,740
2023-10,岡本,蕎麦,38,500
2023-10,岡本,洋定食,55,700
2023-10,岡本,和定食,48,650
2023-11,岡本,うどん,49,500
2023-11,岡本,オムライス,47,600
2023-11,岡本,カツ丼,50,650
2023-11,岡本,カレー,51,600
2023-11,岡本,サンドウィッチ,20,450
2023-11,岡本,スパゲティ,26,710
2023-11,岡本,チャーハン,30,630
2023-11,岡本,ドリア,37,700
2023-11,岡本,ピザ,36,740
2023-11,岡本,蕎麦,52,500
2023-11,岡本,洋定食,88,700
2023-11,岡本,和定食,53,650
2023-12,岡本,うどん,50,500
2023-12,岡本,オムライス,54,600
2023-12,岡本,カツ丼,58,650
2023-12,岡本,カレー,58,600
2023-12,岡本,サンドウィッチ,16,450
2023-12,岡本,スパゲティ,29,710
2023-12,岡本,チャーハン,55,630
2023-12,岡本,ドリア,35,700
2023-12,岡本,ピザ,33,740
2023-12,岡本,蕎麦,50,500
2023-12,岡本,洋定食,41,700
2023-12,岡本,和定食,52,650
2024-01,岡本,うどん,47,500
2024-01,岡本,オムライス,35,600
2024-01,岡本,カツ丼,34,650
2024-01,岡本,カレー,51,600
2024-01,岡本,サンドウィッチ,8,450
2024-01,岡本,スパゲティ,29,710
2024-01,岡本,チャーハン,32,630
2024-01,岡本,ドリア,49,700
2024-01,岡本,ピザ,34,740
2024-01,岡本,蕎麦,45,500
2024-01,岡本,洋定食,53,700
2024-01,岡本,和定食,57,650
2024-02,岡本,うどん,40,500
2024-02,岡本,オムライス,36,600
2024-02,岡本,カツ丼,55,650
2024-02,岡本,カレー,64,600
2024-02,岡本,サンドウィッチ,21,450
2024-02,岡本,スパゲティ,21,710
2024-02,岡本,チャーハン,37,630
2024-02,岡本,ドリア,49,700
2024-02,岡本,ピザ,30,740
2024-02,岡本,蕎麦,35,500
2024-02,岡本,洋定食,63,700
2024-02,岡本,和定食,53,650
2024-03,岡本,うどん,48,500
2024-03,岡本,オムライス,41,600
2024-03,岡本,カツ丼,49,650
2024-03,岡本,カレー,50,600
2024-03,岡本,サンドウィッチ,11,450
2024-03,岡本,スパゲティ,26,710
2024-03,岡本,チャーハン,46,630
2024-03,岡本,ドリア,44,700
2024-03,岡本,ピザ,25,740
2024-03,岡本,蕎麦,38,500
2024-03,岡本,洋定食,46,700
2024-03,岡本,和定食,54,650
2024-04,岡本,うどん,45,500
2024-04,岡本,オムライス,50,600
2024-04,岡本,カツ丼,53,650
2024-04,岡本,カレー,52,600
2024-04,岡本,サンドウィッチ,14,450
2024-04,岡本,スパゲティ,17,710
2024-04,岡本,チャーハン,47,630
2024-04,岡本,ドリア,36,700
2024-04,岡本,ピザ,25,740
2024-04,岡本,蕎麦,43,500
2024-04,岡本,洋定食,59,700
2024-04,岡本,和定食,57,650
2024-05,岡本,うどん,41,500
2024-05,岡本,オムライス,50,600
2024-05,岡本,カツ丼,45,650
2024-05,岡本,カレー,46,600
2024-05,岡本,サンドウィッチ,11,450
2024-05,岡本,スパゲティ,25,710
2024-05,岡本,チャーハン,42,630
2024-05,岡本,ドリア,33,700
2024-05,岡本,ピザ,27,740
2024-05,岡本,蕎麦,44,500
2024-05,岡本,洋定食,53,700
2024-05,岡本,和定食,60,650
2024-06,岡本,うどん,46,500
2024-06,岡本,オムライス,46,600
2024-06,岡本,カツ丼,50,650
2024-06,岡本,カレー,48,600
2024-06,岡本,サンドウィッチ,10,450
2024-06,岡本,スパゲティ,24,710
2024-06,岡本,チャーハン,37,630
2024-06,岡本,ドリア,29,700
2024-06,岡本,ピザ,36,740
2024-06,岡本,蕎麦,43,500
2024-06,岡本,洋定食,47,700
2024-06,岡本,和定食,63,650
2024-07,岡本,うどん,48,500
2024-07,岡本,オムライス,40,600
2024-07,岡本,カツ丼,59,650
2024-07,岡本,カレー,54,600
2024-07,岡本,サンドウィッチ,17,450
2024-07,岡本,スパゲティ,33,710
2024-07,岡本,チャーハン,53,630
2024-07,岡本,ドリア,40,700
2024-07,岡本,ピザ,29,740
2024-07,岡本,蕎麦,42,500
2024-07,岡本,洋定食,58,700
2024-07,岡本,和定食,49,650
2024-08,岡本,うどん,45,500
2024-08,岡本,オムライス,40,600
2024-08,岡本,カツ丼,54,650
2024-08,岡本,カレー,44,600
2024-08,岡本,サンドウィッチ,18,450
2024-08,岡本,スパゲティ,21,710
2024-08,岡本,チャーハン,37,630
2024-08,岡本,ドリア,33,700
2024-08,岡本,ピザ,31,740
2024-08,岡本,蕎麦,38,500
2024-08,岡本,洋定食,53,700
2024-08,岡本,和定食,48,650
2024-09,岡本,うどん,56,500
2024-09,岡本,オムライス,34,600
2024-09,岡本,カツ丼,38,650
2024-09,岡本,カレー,61,600
2024-09,岡本,サンドウィッチ,13,450
2024-09,岡本,スパゲティ,22,710
2024-09,岡本,チャーハン,35,630
2024-09,岡本,ドリア,45,700
2024-09,岡本,ピザ,42,740
2024-09,岡本,蕎麦,48,500
2024-09,岡本,洋定食,60,700
2024-09,岡本,和定食,52,650
2024-10,岡本,うどん,57,500
2024-10,岡本,オムライス,34,600
2024-10,岡本,カツ丼,42,650
2024-10,岡本,カレー,50,600
2024-10,岡本,サンドウィッチ,14,450
2024-10,岡本,スパゲティ,31,710
2024-10,岡本,チャーハン,39,630
2024-10,岡本,ドリア,38,700
2024-10,岡本,ピザ,34,740
2024-10,岡本,蕎麦,44,500
2024-10,岡本,洋定食,44,700
2024-10,岡本,和定食,67,650
2024-11,岡本,うどん,56,500
2024-11,岡本,オムライス,34,600
2024-11,岡本,カツ丼,37,650
2024-11,岡本,カレー,71,600
2024-11,岡本,サンドウィッチ,17,450
2024-11,岡本,スパゲティ,20,710
2024-11,岡本,チャーハン,30,630
2024-11,岡本,ドリア,27,700
2024-11,岡本,ピザ,37,740
2024-11,岡本,蕎麦,52,500
2024-11,岡本,洋定食,46,700
2024-11,岡本,和定食,53,650
2024-12,岡本,うどん,53,500
2024-12,岡本,オムライス,53,600
2024-12,岡本,カツ丼,45,650
2024-12,岡本,カレー,57,600
2024-12,岡本,サンドウィッチ,20,450
2024-12,岡本,スパゲティ,25,710
2024-12,岡本,チャーハン,41,630
2024-12,岡本,ドリア,27,700
2024-12,岡本,ピザ,38,740
2024-12,岡本,蕎麦,38,500
2024-12,岡本,洋定食,66,700
2024-12,岡本,和定食,45,650
2023-01,元町,うどん,58,500
2023-01,元町,オムライス,49,600
2023-01,元町,カツ丼,60,650
2023-01,元町,カレー,63,600
2023-01,元町,サンドウィッチ,21,450
2023-01,元町,スパゲティ,32,710
2023-01,元町,チャーハン,46,630
2023-01,元町,ドリア,54,700
2023-01,元町,ピザ,46,740
2023-01,元町,蕎麦,51,500
2023-01,元町,洋定食,87,700
2023-01,元町,和定食,73,650
2023-02,元町,うどん,57,500
2023-02,元町,オムライス,54,600
2023-02,元町,カツ丼,72,650
2023-02,元町,カレー,59,600
2023-02,元町,サンドウィッチ,25,450
2023-02,元町,スパゲティ,31,710
2023-02,元町,チャーハン,41,630
2023-02,元町,ドリア,45,700
2023-02,元町,ピザ,44,740
2023-02,元町,蕎麦,56,500
2023-02,元町,洋定食,71,700
2023-02,元町,和定食,53,650
2023-03,元町,うどん,80,500
2023-03,元町,オムライス,57,600
2023-03,元町,カツ丼,69,650
2023-03,元町,カレー,60,600
2023-03,元町,サンドウィッチ,19,450
2023-03,元町,スパゲティ,37,710
2023-03,元町,チャーハン,43,630
2023-03,元町,ドリア,51,700
2023-03,元町,ピザ,39,740
2023-03,元町,蕎麦,51,500
2023-03,元町,洋定食,66,700
2023-03,元町,和定食,56,650
2023-04,元町,うどん,52,500
2023-04,元町,オムライス,57,600
2023-04,元町,カツ丼,70,650
2023-04,元町,カレー,58,600
2023-04,元町,サンドウィッチ,18,450
2023-04,元町,スパゲティ,24,710
2023-04,元町,チャーハン,42,630
2023-04,元町,ドリア,52,700
2023-04,元町,ピザ,50,740
2023-04,元町,蕎麦,46,500
2023-04,元町,洋定食,66,700
2023-04,元町,和定食,68,650
2023-05,元町,うどん,52,500
2023-05,元町,オムライス,49,600
2023-05,元町,カツ丼,57,650
2023-05,元町,カレー,45,600
2023-05,元町,サンドウィッチ,17,450
2023-05,元町,スパゲティ,28,710
2023-05,元町,チャーハン,33,630
2023-05,元町,ドリア,38,700
2023-05,元町,ピザ,30,740
2023-05,元町,蕎麦,67,500
2023-05,元町,洋定食,67,700
2023-05,元町,和定食,74,650
2023-06,元町,うどん,66,500
2023-06,元町,オムライス,48,600
2023-06,元町,カツ丼,53,650
2023-06,元町,カレー,75,600
2023-06,元町,サンドウィッチ,23,450
2023-06,元町,スパゲティ,32,710
2023-06,元町,チャーハン,57,630
2023-06,元町,ドリア,43,700
2023-06,元町,ピザ,36,740
2023-06,元町,蕎麦,45,500
2023-06,元町,洋定食,82,700
2023-06,元町,和定食,66,650
2023-07,元町,うどん,50,500
2023-07,元町,オムライス,58,600
2023-07,元町,カツ丼,58,650
2023-07,元町,カレー,74,600
2023-07,元町,サンドウィッチ,16,450
2023-07,元町,スパゲティ,34,710
2023-07,元町,チャーハン,35,630
2023-07,元町,ドリア,40,700
2023-07,元町,ピザ,43,740
2023-07,元町,蕎麦,65,500
2023-07,元町,洋定食,68,700
2023-07,元町,和定食,72,650
2023-08,元町,うどん,60,500
2023-08,元町,オムライス,51,600
2023-08,元町,カツ丼,60,650
2023-08,元町,カレー,63,600
2023-08,元町,サンドウィッチ,24,450
2023-08,元町,スパゲティ,27,710
2023-08,元町,チャーハン,58,630
2023-08,元町,ドリア,45,700
2023-08,元町,ピザ,34,740
2023-08,元町,蕎麦,51,500
2023-08,元町,洋定食,78,700
2023-08,元町,和定食,55,650
2023-09,元町,うどん,58,500
2023-09,元町,オムライス,60,600
2023-09,元町,カツ丼,66,650
2023-09,元町,カレー,75,600
2023-09,元町,サンドウィッチ,35,450
2023-09,元町,スパゲティ,29,710
2023-09,元町,チャーハン,44,630
2023-09,元町,ドリア,28,700
2023-09,元町,ピザ,29,740
2023-09,元町,蕎麦,50,500
2023-09,元町,洋定食,64,700
2023-09,元町,和定食,76,650
2023-10,元町,うどん,60,500
2023-10,元町,オムライス,61,600
2023-10,元町,カツ丼,58,650
2023-10,元町,カレー,65,600
2023-10,元町,サンドウィッチ,18,450
2023-10,元町,スパゲティ,32,710
2023-10,元町,チャーハン,47,630
2023-10,元町,ドリア,43,700
2023-10,元町,ピザ,40,740
2023-10,元町,蕎麦,50,500
2023-10,元町,洋定食,70,700
2023-10,元町,和定食,72,650
2023-11,元町,うどん,64,500
2023-11,元町,オムライス,48,600
2023-11,元町,カツ丼,59,650
2023-11,元町,カレー,62,600
2023-11,元町,サンドウィッチ,18,450
2023-11,元町,スパゲティ,27,710
2023-11,元町,チャーハン,48,630
2023-11,元町,ドリア,45,700
2023-11,元町,ピザ,42,740
2023-11,元町,蕎麦,66,500
2023-11,元町,洋定食,56,700
2023-11,元町,和定食,80,650
2023-12,元町,うどん,52,500
2023-12,元町,オムライス,48,600
2023-12,元町,カツ丼,48,650
2023-12,元町,カレー,67,600
2023-12,元町,サンドウィッチ,17,450
2023-12,元町,スパゲティ,28,710
2023-12,元町,チャーハン,50,630
2023-12,元町,ドリア,30,700
2023-12,元町,ピザ,44,740
2023-12,元町,蕎麦,60,500
2023-12,元町,洋定食,56,700
2023-12,元町,和定食,70,650
2024-01,元町,うどん,63,500
2024-01,元町,オムライス,50,600
2024-01,元町,カツ丼,52,650
2024-01,元町,カレー,62,600
2024-01,元町,サンドウィッチ,19,450
2024-01,元町,スパゲティ,13,710
2024-01,元町,チャーハン,50,630
2024-01,元町,ドリア,41,700
2024-01,元町,ピザ,45,740
2024-01,元町,蕎麦,52,500
2024-01,元町,洋定食,71,700
2024-01,元町,和定食,54,650
2024-02,元町,うどん,55,500
2024-02,元町,オムライス,46,600
2024-02,元町,カツ丼,63,650
2024-02,元町,カレー,56,600
2024-02,元町,サンドウィッチ,13,450
2024-02,元町,スパゲティ,31,710
2024-02,元町,チャーハン,60,630
2024-02,元町,ドリア,47,700
2024-02,元町,ピザ,30,740
2024-02,元町,蕎麦,51,500
2024-02,元町,洋定食,66,700
2024-02,元町,和定食,74,650
2024-03,元町,うどん,50,500
2024-03,元町,オムライス,38,600
2024-03,元町,カツ丼,55,650
2024-03,元町,カレー,62,600
2024-03,元町,サンドウィッチ,13,450
