id,area,years,satisfy,apps,comment
18,中国・四国,2,3,HAD,コメント自由記述
18,中国・四国,2,3,JASP,コメント自由記述
18,中国・四国,2,3,S-PLUS,コメント自由記述
18,中国・四国,2,3,SPSS,コメント自由記述
19,近畿,8,2,excel,コメント
19,近畿,8,2,STATISTICA,コメント
20,北海道・東北,5,5,excel,コメントコメント
20,北海道・東北,5,5,SAS,コメントコメント
21,関東,9,4,S-PLUS,自由記述コメント自由記述
22,中部,10,1,excel,コメントコメント
22,中部,10,1,HAD,コメントコメント
22,中部,10,1,JASP,コメントコメント
22,中部,10,1,SAS,コメントコメント
22,中部,10,1,SPSS,コメントコメント
23,九州・沖縄,2,5,excel,自由記述コメント自由記述自由記述
23,九州・沖縄,2,5,HAD,自由記述コメント自由記述自由記述
23,九州・沖縄,2,5,JASP,自由記述コメント自由記述自由記述
23,九州・沖縄,2,5,SPSS,自由記述コメント自由記述自由記述
24,中国・四国,7,3,excel,コメントコメントコメントコメント
24,中国・四国,7,3,HAD,コメントコメントコメントコメント
24,中国・四国,7,3,SAS,コメントコメントコメントコメント
24,中国・四国,7,3,SPSS,コメントコメントコメントコメント
24,中国・四国,7,3,STATISTICA,コメントコメントコメントコメント
25,九州・沖縄,8,3,-,自由記述自由記述コメントコメント
26,近畿,10,2,HAD,コメント自由記述コメントコメント自由記述
26,近畿,10,2,JASP,コメント自由記述コメントコメント自由記述
26,近畿,10,2,JMP,コメント自由記述コメントコメント自由記述
27,中国・四国,20,1,excel,
27,中国・四国,20,1,HAD,
27,中国・四国,20,1,SAS,
27,中国・四国,20,1,SPSS,
28,中国・四国,24,3,excel,コメント自由記述
28,中国・四国,24,3,others,コメント自由記述
28,中国・四国,24,3,SAS,コメント自由記述
28,中国・四国,24,3,SPSS,コメント自由記述
28,中国・四国,24,3,STATISTICA,コメント自由記述
29,北海道・東北,9,5,excel,
29,北海道・東北,9,5,SPSS,
29,北海道・東北,9,5,STATISTICA,
30,関東,13,3,excel,コメントコメントコメントコメント
30,関東,13,3,SPSS,コメントコメントコメントコメント
31,九州・沖縄,18,4,excel,自由記述コメントコメント
31,九州・沖縄,18,4,others,自由記述コメントコメント
31,九州・沖縄,18,4,S-PLUS,自由記述コメントコメント
31,九州・沖縄,18,4,SAS,自由記述コメントコメント
31,九州・沖縄,18,4,STATISTICA,自由記述コメントコメント
32,関東,5,5,HAD,
32,関東,5,5,JASP,
32,関東,5,5,JMP,
32,関東,5,5,S-PLUS,
32,関東,5,5,SAS,
33,近畿,8,4,JASP,コメントコメント
33,近畿,8,4,others,コメントコメント
33,近畿,8,4,S-PLUS,コメントコメント
33,近畿,8,4,SPSS,コメントコメント
33,近畿,8,4,STATISTICA,コメントコメント
34,近畿,16,1,HAD,自由記述
34,近畿,16,1,S-PLUS,自由記述
34,近畿,16,1,STATISTICA,自由記述
35,中部,20,1,-,
36,近畿,3,5,HAD,コメント自由記述自由記述コメント自由記述
36,近畿,3,5,SAS,コメント自由記述自由記述コメント自由記述
36,近畿,3,5,SPSS,コメント自由記述自由記述コメント自由記述
37,近畿,5,5,SAS,コメントコメントコメントコメントコメント
37,近畿,5,5,SPSS,コメントコメントコメントコメントコメント
38,中国・四国,8,2,excel,自由記述コメントコメント
39,中国・四国,3,3,S-PLUS,コメントコメントコメントコメント
39,中国・四国,3,3,STATISTICA,コメントコメントコメントコメント
40,中部,15,4,excel,自由記述自由記述コメントコメント自由記述
40,中部,15,4,SAS,自由記述自由記述コメントコメント自由記述
41,中国・四国,13,1,HAD,コメントコメント自由記述コメント
41,中国・四国,13,1,JMP,コメントコメント自由記述コメント
41,中国・四国,13,1,others,コメントコメント自由記述コメント
41,中国・四国,13,1,S-PLUS,コメントコメント自由記述コメント
41,中国・四国,13,1,STATISTICA,コメントコメント自由記述コメント
42,近畿,5,3,HAD,コメントコメント自由記述
42,近畿,5,3,JASP,コメントコメント自由記述
43,九州・沖縄,3,1,S-PLUS,
43,九州・沖縄,3,1,STATISTICA,
44,中部,5,4,JASP,自由記述コメントコメント自由記述自由記述
44,中部,5,4,S-PLUS,自由記述コメントコメント自由記述自由記述
44,中部,5,4,SPSS,自由記述コメントコメント自由記述自由記述
45,中国・四国,18,3,-,自由記述コメントコメント
46,近畿,10,1,JMP,自由記述コメント自由記述
46,近畿,10,1,others,自由記述コメント自由記述
46,近畿,10,1,STATISTICA,自由記述コメント自由記述
47,中部,11,2,HAD,コメントコメントコメントコメント自由記述
47,中部,11,2,SAS,コメントコメントコメントコメント自由記述
47,中部,11,2,STATISTICA,コメントコメントコメントコメント自由記述
48,中国・四国,5,3,excel,自由記述自由記述コメント
48,中国・四国,5,3,S-PLUS,自由記述自由記述コメント
48,中国・四国,5,3,SAS,自由記述自由記述コメント
48,中国・四国,5,3,SPSS,自由記述自由記述コメント
49,中部,19,3,-,自由記述自由記述
50,関東,7,5,excel,自由記述コメント
50,関東,7,5,JASP,自由記述コメント
51,中国・四国,7,3,HAD,自由記述自由記述自由記述
51,中国・四国,7,3,JMP,自由記述自由記述自由記述
51,中国・四国,7,3,S-PLUS,自由記述自由記述自由記述
52,近畿,18,1,excel,自由記述コメントコメント
53,関東,14,4,S-PLUS,コメント自由記述自由記述自由記述
53,関東,14,4,SPSS,コメント自由記述自由記述自由記述
54,中国・四国,1,1,excel,
54,中国・四国,1,1,HAD,
54,中国・四国,1,1,SAS,
55,北海道・東北,4,1,excel,コメント自由記述自由記述
55,北海道・東北,4,1,JASP,コメント自由記述自由記述
55,北海道・東北,4,1,SAS,コメント自由記述自由記述
55,北海道・東北,4,1,SPSS,コメント自由記述自由記述
55,北海道・東北,4,1,STATISTICA,コメント自由記述自由記述
56,近畿,4,4,excel,
56,近畿,4,4,SAS,
57,中国・四国,7,3,SPSS,自由記述自由記述コメント自由記述
57,中国・四国,7,3,STATISTICA,自由記述自由記述コメント自由記述
58,関東,30,2,-,自由記述
59,近畿,3,1,excel,
59,近畿,3,1,HAD,
59,近畿,3,1,JMP,
59,近畿,3,1,SAS,
60,中部,4,2,-,
61,中国・四国,26,1,-,
62,九州・沖縄,4,2,HAD,コメント自由記述
62,九州・沖縄,4,2,SAS,コメント自由記述
62,九州・沖縄,4,2,STATISTICA,コメント自由記述
63,関東,10,5,excel,コメント
63,関東,10,5,SPSS,コメント
63,関東,10,5,STATISTICA,コメント
64,関東,18,1,HAD,自由記述コメントコメントコメント自由記述
64,関東,18,1,others,自由記述コメントコメントコメント自由記述
64,関東,18,1,SAS,自由記述コメントコメントコメント自由記述
64,関東,18,1,SPSS,自由記述コメントコメントコメント自由記述
65,近畿,25,3,JASP,コメントコメント自由記述コメント自由記述
66,関東,12,2,JASP,
66,関東,12,2,JMP,
66,関東,12,2,SAS,
67,九州・沖縄,5,5,JASP,自由記述自由記述自由記述コメント自由記述
67,九州・沖縄,5,5,S-PLUS,自由記述自由記述自由記述コメント自由記述
67,九州・沖縄,5,5,SAS,自由記述自由記述自由記述コメント自由記述
68,中国・四国,1,2,HAD,自由記述コメント自由記述コメント自由記述
68,中国・四国,1,2,S-PLUS,自由記述コメント自由記述コメント自由記述
68,中国・四国,1,2,SAS,自由記述コメント自由記述コメント自由記述
68,中国・四国,1,2,STATISTICA,自由記述コメント自由記述コメント自由記述
69,中国・四国,10,2,excel,コメントコメント自由記述
69,中国・四国,10,2,others,コメントコメント自由記述
69,中国・四国,10,2,S-PLUS,コメントコメント自由記述
69,中国・四国,10,2,SAS,コメントコメント自由記述
69,中国・四国,10,2,STATISTICA,コメントコメント自由記述
70,中部,5,4,excel,
71,九州・沖縄,17,2,HAD,自由記述自由記述自由記述コメント
71,九州・沖縄,17,2,others,自由記述自由記述自由記述コメント
71,九州・沖縄,17,2,SAS,自由記述自由記述自由記述コメント
71,九州・沖縄,17,2,SPSS,自由記述自由記述自由記述コメント
71,九州・沖縄,17,2,STATISTICA,自由記述自由記述自由記述コメント
72,中部,1,3,SPSS,コメント
73,近畿,7,1,S-PLUS,コメント
73,近畿,7,1,STATISTICA,コメント
74,九州・沖縄,14,3,STATISTICA,
75,近畿,13,1,excel,コメント
75,近畿,13,1,HAD,コメント
75,近畿,13,1,others,コメント
75,近畿,13,1,STATISTICA,コメント
76,中国・四国,14,4,excel,自由記述コメントコメント自由記述コメント
76,中国・四国,14,4,JASP,自由記述コメントコメント自由記述コメント
76,中国・四国,14,4,SAS,自由記述コメントコメント自由記述コメント
76,中国・四国,14,4,STATISTICA,自由記述コメントコメント自由記述コメント
77,近畿,2,3,S-PLUS,コメントコメント
77,近畿,2,3,SAS,コメントコメント
77,近畿,2,3,SPSS,コメントコメント
77,近畿,2,3,STATISTICA,コメントコメント
78,中部,7,2,SAS,
78,中部,7,2,SPSS,
79,中国・四国,23,3,JMP,コメント自由記述自由記述自由記述自由記述
79,中国・四国,23,3,others,コメント自由記述自由記述自由記述自由記述
79,中国・四国,23,3,SPSS,コメント自由記述自由記述自由記述自由記述
80,九州・沖縄,3,4,HAD,コメントコメント
80,九州・沖縄,3,4,SAS,コメントコメント
81,関東,10,4,excel,自由記述コメントコメントコメント自由記述
82,中部,3,1,HAD,コメント自由記述コメント
83,九州・沖縄,5,4,excel,自由記述自由記述自由記述
83,九州・沖縄,5,4,JASP,自由記述自由記述自由記述
83,九州・沖縄,5,4,JMP,自由記述自由記述自由記述
83,九州・沖縄,5,4,SAS,自由記述自由記述自由記述
83,九州・沖縄,5,4,SPSS,自由記述自由記述自由記述
84,関東,11,2,STATISTICA,コメント自由記述コメント自由記述コメント
85,関東,5,1,excel,コメントコメント自由記述自由記述コメント
85,関東,5,1,JMP,コメントコメント自由記述自由記述コメント
85,関東,5,1,S-PLUS,コメントコメント自由記述自由記述コメント
85,関東,5,1,SPSS,コメントコメント自由記述自由記述コメント
86,中部,3,5,HAD,
87,関東,16,3,-,自由記述自由記述コメント自由記述
88,関東,13,3,SAS,
88,関東,13,3,SPSS,
88,関東,13,3,STATISTICA,
89,九州・沖縄,2,1,-,自由記述自由記述コメント
90,北海道・東北,11,2,excel,コメント自由記述コメント
90,北海道・東北,11,2,HAD,コメント自由記述コメント
90,北海道・東北,11,2,SAS,コメント自由記述コメント
90,北海道・東北,11,2,SPSS,コメント自由記述コメント
90,北海道・東北,11,2,STATISTICA,コメント自由記述コメント
91,中部,2,2,others,自由記述自由記述自由記述自由記述コメント
91,中部,2,2,SAS,自由記述自由記述自由記述自由記述コメント
92,中国・四国,3,1,HAD,コメントコメントコメント
92,中国・四国,3,1,JASP,コメントコメントコメント
92,中国・四国,3,1,SPSS,コメントコメントコメント
93,近畿,8,4,excel,コメントコメントコメント
93,近畿,8,4,HAD,コメントコメントコメント
93,近畿,8,4,S-PLUS,コメントコメントコメント
93,近畿,8,4,SAS,コメントコメントコメント
93,近畿,8,4,SPSS,コメントコメントコメント
94,北海道・東北,6,4,JMP,
95,近畿,9,3,JASP,自由記述自由記述自由記述コメント自由記述
95,近畿,9,3,S-PLUS,自由記述自由記述自由記述コメント自由記述
95,近畿,9,3,SAS,自由記述自由記述自由記述コメント自由記述
96,近畿,6,2,HAD,自由記述自由記述
96,近畿,6,2,SPSS,自由記述自由記述
97,関東,12,4,S-PLUS,コメント自由記述
98,九州・沖縄,9,4,-,コメント
99,北海道・東北,21,2,STATISTICA,
100,中国・四国,17,3,-,自由記述コメント
